Unnamed: 0,Vmag,Plx,e_Plx,B-V,SpType,StarType
27173,7.22,9.87,0.6,0.351,F0/F2V,Dwarf
27174,12.49,5.68,2.91,0.612,Unknown,Unknown
27175,8.81,5.68,2.91,1.047,G0,Unknown
27176,5.46,6.76,0.86,0.03,A0p...,Unknown
27177,7.06,2.99,0.73,1.275,K1/K2III,Giant
27178,9.26,-0.59,2.7,0.162,B3,Unknown
27179,7.71,4.0,0.91,0.495,F0,Unknown
27180,7.96,3.25,1.18,0.22,A3,Unknown
27181,9.35,9.03,1.61,0.653,G3V,Dwarf
27182,8.29,12.36,1.27,0.554,F6V,Dwarf
27183,7.94,2.51,1.42,0.112,A0,Unknown
27184,5.18,2.52,0.55,-0.274,B1IV/V,Giant
27185,7.7,5.91,1.57,0.394,F2,Unknown
27186,7.41,2.97,0.56,1.288,K2IIICN...,Giant
27187,7.34,48.6,1.03,0.833,K0V,Dwarf
27188,7.86,3.35,0.94,1.409,K3III,Giant
27189,7.76,3.66,0.68,1.047,G5,Unknown
27190,9.44,-0.48,1.76,0.341,A2,Unknown
27191,8.6,7.77,1.59,0.973,K0,Unknown
27192,6.24,8.78,0.87,1.05,K1III...,Giant
27193,8.89,8.95,1.19,0.474,F8,Unknown
27194,8.06,6.52,1.07,0.324,A2,Unknown
27195,9.73,6.97,1.7,0.56,F8,Unknown
27196,8.06,7.59,0.69,0.247,A5III,Giant
27197,8.97,-0.54,1.34,0.034,B9,Unknown
27198,7.6,5.08,1.5,0.403,F2,Unknown
27199,9.13,7.99,0.83,0.521,F6IV/V,Giant
27200,8.96,1.76,1.14,0.967,K0/K1III,Giant
27201,8.96,1.81,0.97,1.703,M2,Unknown
27202,8.19,3.56,1.21,1.198,K0,Unknown
27203,7.96,2.8,1.04,0.14,B5V,Dwarf
27204,8.03,5.66,1.13,0.36,F0,Unknown
27205,8.2,28.2,0.81,0.722,G0,Unknown
27206,9.49,3.39,1.74,0.05,A0,Unknown
27207,6.66,2.59,0.74,1.568,K0,Unknown
27208,7.92,5.89,1.18,1.0,G5,Unknown
27209,6.54,5.75,0.72,1.422,M4/M5III,Giant
27210,7.95,3.31,0.7,1.024,G5,Unknown
27211,11.38,14.32,2.85,1.15,Unknown,Unknown
27212,8.51,2.89,1.17,1.341,K1/K2III,Giant
27213,8.8,7.42,0.76,0.454,F3V,Dwarf
27214,10.43,8.53,2.25,0.548,G0,Unknown
27215,9.21,6.92,1.33,0.532,F6V,Dwarf
27216,10.35,7.74,1.97,0.848,G0,Unknown
27217,8.49,2.02,0.77,1.088,G8/K0IV,Giant
27218,8.06,6.32,0.68,0.342,F0/F2III/IV,Giant
27219,7.98,1.13,1.2,0.097,B9,Unknown
27220,8.15,0.45,1.04,0.228,B9,Unknown
27221,8.81,5.25,1.12,0.551,F8,Unknown
27222,10.39,4.72,2.5,0.583,F8,Unknown
27223,5.31,7.09,0.5,1.04,K0/K1II,Giant
27224,6.63,34.7,0.53,0.594,G2V,Dwarf
27225,9.14,1.09,0.83,1.337,K0,Unknown
27226,7.33,27.37,0.72,0.702,G0,Unknown
27227,7.92,10.01,1.23,0.397,F0,Unknown
27228,8.51,2.47,1.09,0.14,A0V,Dwarf
27229,5.93,16.89,0.73,0.164,A4Vn,Dwarf
27230,7.99,4.24,0.82,-0.071,B8V,Dwarf
27231,8.8,13.15,1.39,0.589,G0,Unknown
27232,11.39,8.82,3.29,1.534,Unknown,Unknown
27233,5.95,23.57,0.92,0.773,G4V,Dwarf
27234,9.13,5.13,1.36,0.164,A0,Unknown
27235,9.23,3.93,1.3,1.366,K7,Unknown
27236,8.12,10.84,1.54,0.483,F5V,Dwarf
27237,7.4,4.23,0.96,1.384,K2,Unknown
27238,8.27,1.33,1.43,-0.027,A0,Unknown
27239,6.84,10.6,0.59,0.086,A3V,Dwarf
27240,8.61,14.47,1.15,0.59,G0V,Dwarf
27241,7.81,1.81,1.02,0.229,A0,Unknown
27242,9.32,4.63,1.1,0.612,Unknown,Unknown
27243,7.6,7.78,1.21,0.717,G5,Unknown
27244,9.79,1.22,1.58,1.625,M,Unknown
27245,6.0,3.71,0.91,-0.061,B8IIIMNp...,Giant
27246,7.61,10.05,1.21,0.377,F2,Unknown
27247,7.67,-0.63,1.12,1.301,G5,Unknown
27248,10.27,-4.97,6.88,1.071,K5,Unknown
27249,8.4,4.35,0.72,0.178,A4/A5V,Dwarf
27250,8.94,1.49,1.47,0.349,A3,Unknown
27251,8.49,10.77,3.24,1.025,G0,Unknown
27252,9.3,6.75,0.79,0.498,F6V,Dwarf
27253,8.91,3.88,3.83,0.446,A5,Unknown
27254,8.07,10.24,0.7,0.443,F3V,Dwarf
27255,7.67,4.61,1.22,1.042,K0,Unknown
27256,8.92,0.97,0.82,1.212,K0/K1III:,Giant
27257,7.47,2.91,0.98,0.025,B8,Unknown
27258,8.43,4.78,0.7,0.205,A3V,Dwarf
27259,5.78,10.88,0.86,0.888,G8III,Giant
27260,7.54,19.88,0.76,0.553,F7V,Dwarf
27261,8.62,1.19,0.77,1.293,K2III,Giant
27262,6.79,5.24,0.78,0.141,A7V,Dwarf
27263,8.72,5.4,1.22,0.376,F0,Unknown
27264,8.76,4.99,0.95,0.496,F8,Unknown
27265,11.18,2.6,2.05,1.5,M6e-M8,Unknown
27266,7.06,0.59,1.01,1.369,K0,Unknown
27267,3.55,46.47,0.68,0.104,A2Vann,Dwarf
27268,8.3,0.93,1.1,1.094,G5,Unknown
27269,7.41,11.59,0.64,0.496,F6IV-V,Giant
27270,7.27,5.01,0.97,1.369,K3III,Giant
27271,9.17,7.97,2.2,0.41,F6V,Dwarf
27272,6.47,6.78,0.86,0.898,G5,Unknown
27273,9.66,3.76,1.31,1.101,K2,Unknown
27274,7.86,7.96,1.17,0.183,A7III/IV,Giant
27275,7.07,3.07,1.0,-0.05,B8,Unknown
27276,10.51,-1.16,15.59,0.656,Unknown,Unknown
27277,8.74,2.31,1.25,0.199,A2V,Dwarf
27278,9.11,3.0,1.3,-0.022,Asp...,Unknown
27279,9.23,5.39,1.43,0.133,A0,Unknown
27280,9.71,2.66,2.01,0.51,F8,Unknown
27281,7.85,5.39,1.03,0.895,G5,Unknown
27282,8.76,5.9,0.78,0.555,F7V,Dwarf
27283,6.22,5.4,0.61,-0.132,B5III,Giant
27284,7.98,17.14,0.97,0.581,G0,Unknown
27285,8.98,2.82,1.42,0.156,A3,Unknown
27286,8.09,3.51,0.93,-0.029,A0V,Dwarf
27287,6.18,4.91,0.75,0.892,G8III,Giant
27288,9.7,5.7,4.95,0.956,B5,Unknown
27289,8.98,7.43,1.3,0.446,F8,Unknown
27290,9.4,12.28,0.92,0.727,G3/G5V,Dwarf
27291,7.89,1.62,1.34,0.103,B9,Unknown
27292,8.57,2.27,1.29,1.129,K0III,Giant
27293,6.56,5.08,0.76,1.313,K0,Unknown
27294,7.14,4.94,1.07,1.348,K0,Unknown
27295,5.72,7.72,0.93,0.077,A3Vn,Dwarf
27296,6.19,2.67,0.5,1.406,K3III,Giant
27297,7.48,3.36,0.92,1.374,M4III,Giant
27298,6.3,4.53,0.85,1.354,K0,Unknown
27299,7.66,3.36,1.21,1.06,K0,Unknown
27300,3.85,51.87,0.51,0.171,A3V,Dwarf
27301,7.66,9.02,0.9,0.526,F5,Unknown
27302,9.74,48.2,1.06,1.377,M0V,Dwarf
27303,9.22,5.58,1.61,0.417,F0,Unknown
27304,6.29,6.38,0.61,1.191,K1III,Giant
27305,7.18,1.84,0.93,1.587,K0,Unknown
27306,8.85,2.91,1.3,0.21,A0,Unknown
27307,9.35,4.02,0.88,0.56,F6V,Dwarf
27308,8.52,1.76,0.81,1.263,K1/K2III,Giant
27309,7.16,17.07,0.72,0.513,F7V,Dwarf
27310,7.6,5.17,0.65,0.013,A0V,Dwarf
27311,8.19,3.44,1.14,-0.083,A0,Unknown
27312,9.09,6.73,1.16,0.342,A,Unknown
27313,9.08,1.71,1.24,1.099,G5,Unknown
27314,8.46,2.2,0.72,-0.054,B9V,Dwarf
27315,7.21,12.21,1.88,0.545,F8,Unknown
27316,7.97,7.16,0.8,0.179,A2,Unknown
27317,5.47,2.57,0.95,0.301,F0III,Giant
27318,9.06,12.85,0.89,0.623,G2V,Dwarf
27319,7.12,4.31,0.62,1.282,K1III,Giant
27320,6.04,4.99,1.04,0.135,A4V,Dwarf
27321,7.27,4.81,0.78,-0.066,B8/B9V,Dwarf
27322,7.55,2.36,1.11,1.137,K0,Unknown
27323,6.78,3.33,0.56,1.585,M5III,Giant
27324,7.65,5.87,1.13,-0.042,B9,Unknown
27325,6.49,6.77,0.73,1.01,G5,Unknown
27326,8.3,9.59,1.13,0.858,K0,Unknown
27327,7.62,0.51,1.03,1.795,K5,Unknown
27328,8.36,3.63,0.69,0.292,A2m...,Unknown
27329,9.12,3.4,1.86,0.348,Am,Unknown
27330,8.94,8.68,0.76,0.545,F5V,Dwarf
27331,8.98,4.98,1.46,0.359,A5,Unknown
27332,6.48,3.27,0.91,1.193,K1III,Giant
27333,9.59,0.51,1.57,0.1,B8,Unknown
27334,6.58,5.77,0.78,0.924,K0,Unknown
27335,8.68,2.48,0.77,1.321,K2III,Giant
27336,8.5,3.74,0.74,0.172,A0Vm...,Dwarf
27337,9.41,4.83,1.54,0.432,F5,Unknown
27338,7.86,2.15,1.13,1.507,K2,Unknown
27339,10.72,66.71,1.49,1.476,M2,Unknown
27340,9.19,10.49,1.57,0.372,F5,Unknown
27341,8.49,0.79,1.26,0.686,F8,Unknown
27342,8.87,2.64,1.41,1.043,G5,Unknown
27343,5.28,4.08,0.86,-0.156,B2IV-V,Giant
27344,8.29,7.13,0.74,0.949,K1IV,Giant
27345,2.07,4.52,0.77,-0.168,B0.5Iavar,Giant
27346,9.03,2.1,0.88,0.953,G8IV,Giant
27347,7.7,5.06,1.1,-0.101,B6V,Dwarf
27348,6.54,8.45,0.58,1.073,K0III,Giant
27349,8.8,22.0,0.79,0.71,G6V,Dwarf
27350,10.48,0.98,1.97,1.044,G5,Unknown
27351,8.2,13.6,1.32,0.593,F8,Unknown
27352,8.73,6.41,1.3,1.073,K0,Unknown
27353,8.64,1.05,1.36,0.65,F8,Unknown
27354,9.01,0.0,1.4,0.089,B8,Unknown
27355,9.05,6.05,1.13,0.108,A0,Unknown
27356,7.63,9.68,1.81,0.702,F8,Unknown
27357,6.77,1.62,1.13,1.53,K2,Unknown
27358,8.89,2.38,1.14,1.067,K1III,Giant
27359,6.55,2.04,0.96,0.742,F8Ib-II,Giant
27360,9.3,3.79,1.75,0.602,G0,Unknown
27361,7.57,-0.03,1.27,1.468,K,Unknown
27362,6.62,3.4,0.58,1.12,K1III,Giant
27363,8.26,10.06,1.74,0.873,K0,Unknown
27364,9.12,6.36,1.66,0.302,A2,Unknown
27365,5.26,6.8,1.38,0.234,A5V,Dwarf
27366,7.72,4.22,0.65,1.053,K0III,Giant
27367,9.67,2.46,2.09,1.011,F5,Unknown
27368,8.96,0.19,1.53,1.883,K7,Unknown
27369,6.68,3.37,1.04,-0.083,B5,Unknown
27370,9.12,7.12,0.92,0.386,F3V,Dwarf
27371,8.27,9.85,0.81,0.915,G8/K0IV,Giant
27372,9.61,1.88,1.54,0.909,K0,Unknown
27373,10.62,-7.42,6.75,0.43,F2,Unknown
27374,8.46,4.88,1.09,0.035,B8,Unknown
27375,9.26,2.81,1.67,0.416,F5,Unknown
27376,8.27,1.86,1.69,2.523,C4II,Giant
27377,8.14,-0.5,1.25,0.991,K0,Unknown
27378,8.25,6.27,1.18,0.374,A9V,Dwarf
27379,10.02,-8.37,23.43,0.337,Unknown,Unknown
27380,7.3,3.63,1.35,-0.1,B9,Unknown
27381,8.47,5.07,0.77,1.169,K2III,Giant
27382,6.97,2.16,1.04,1.465,K5,Unknown
27383,8.59,2.94,1.17,0.06,A0,Unknown
27384,12.02,9.81,5.3,1.267,Unknown,Unknown
27385,9.11,0.81,0.99,1.742,K5,Unknown
27386,7.05,4.07,0.81,0.038,A1V,Dwarf
27387,7.01,3.08,0.95,1.214,K0,Unknown
27388,7.07,4.19,1.13,0.404,F0,Unknown
27389,9.77,7.02,1.61,0.432,F0,Unknown
27390,10.98,36.42,2.22,1.384,Unknown,Unknown
27391,7.92,3.48,0.58,0.985,K0III,Giant
27392,9.31,5.61,1.67,0.43,F8,Unknown
27393,8.96,6.23,1.07,0.353,F5,Unknown
27394,6.86,3.76,0.64,1.376,K3III,Giant
27395,8.74,2.52,1.25,-0.033,B8,Unknown
27396,7.8,23.48,0.83,0.566,G1V,Dwarf
27397,8.08,5.73,1.4,0.26,A5,Unknown
27398,7.78,5.27,0.88,1.089,K0III,Giant
27399,7.29,4.18,0.62,0.935,G8III,Giant
27400,6.03,5.48,0.88,-0.051,B9Vn,Dwarf
27401,8.7,2.95,0.96,1.061,G5,Unknown
27402,8.45,3.34,2.43,0.09,A0V,Dwarf
27403,7.35,8.78,0.95,0.42,F0p...,Unknown
27404,9.08,0.94,1.15,0.041,A0V,Dwarf
27405,7.38,3.52,0.89,1.068,K0III,Giant
27406,7.29,4.74,1.19,0.03,A0...,Unknown
27407,7.29,5.77,0.96,0.06,B9,Unknown
27408,9.19,10.6,1.29,0.554,G0,Unknown
27409,9.19,3.62,0.87,1.245,K1/K2III,Giant
27410,7.08,13.11,0.87,0.413,F2,Unknown
27411,8.13,4.04,0.94,1.018,G5,Unknown
27412,8.18,4.25,1.01,0.341,A2,Unknown
27413,7.85,9.09,0.67,1.063,K1III/IV,Giant
27414,5.97,64.25,1.19,0.639,G4V,Dwarf
27415,7.57,4.91,0.63,1.138,K2III,Giant
27416,9.47,8.19,0.98,0.577,F8/G0V,Dwarf
27417,8.24,4.57,1.03,0.06,A0,Unknown
27418,8.1,5.78,0.95,0.222,A3,Unknown
27419,8.59,9.86,1.17,0.424,F3V,Dwarf
27420,8.89,22.53,0.83,0.857,K0V,Dwarf
27421,8.26,0.49,1.05,0.021,B9,Unknown
27422,7.98,2.35,1.0,-0.027,B8,Unknown
27423,6.74,6.12,0.88,0.884,G6/G8III/IV,Giant
27424,8.9,1.46,0.81,1.404,K3IV,Giant
27425,6.94,1.69,1.04,1.453,K2,Unknown
27426,8.35,0.77,1.19,0.138,B3II,Giant
27427,8.81,1.64,0.78,1.196,K1III,Giant
27428,8.05,4.16,1.06,0.374,F2V,Dwarf
27429,7.25,8.72,0.94,0.384,F2,Unknown
27430,7.17,9.78,1.18,0.318,A5,Unknown
27431,7.24,3.73,0.99,-0.131,B8,Unknown
27432,6.93,3.78,0.99,-0.1,B8,Unknown
27433,8.32,11.3,0.7,0.563,G0V,Dwarf
27434,8.72,2.45,1.2,1.136,K0,Unknown
27435,7.73,2.02,1.12,0.149,B8,Unknown
27436,7.57,3.61,0.7,0.896,G8III,Giant
27437,6.8,5.24,0.83,0.82,G0,Unknown
27438,8.06,0.13,1.26,-0.025,B3:pe: shell,Unknown
27439,9.07,3.72,1.21,0.085,A0,Unknown
27440,8.86,3.51,1.15,0.203,A0,Unknown
27441,7.53,7.3,0.59,0.242,A7V,Dwarf
27442,8.48,8.96,0.72,0.882,K0III:,Giant
27443,8.67,4.63,1.1,0.719,G5,Unknown
27444,10.27,3.32,5.24,0.612,G0/G1Ie...,Giant
27445,9.85,-0.37,4.18,0.356,F0,Unknown
27446,12.37,-0.37,4.18,0.612,Unknown,Unknown
27447,4.88,6.25,1.29,1.021,G8IIIvar,Giant
27448,8.47,2.57,1.1,0.03,B9,Unknown
27449,8.78,6.68,1.29,0.192,A2,Unknown
27450,7.85,13.64,0.73,0.475,F5V,Dwarf
27451,6.18,7.91,0.92,0.128,A4V,Dwarf
27452,8.44,0.66,1.01,1.634,K5,Unknown
27453,8.91,3.46,1.28,1.2,K2,Unknown
27454,8.95,5.08,1.3,0.45,F2,Unknown
27455,8.37,1.66,1.09,1.315,K2III,Giant
27456,9.86,8.76,3.7,0.286,A0,Unknown
27457,7.28,1.87,1.02,1.44,K2II,Giant
27458,6.89,2.43,0.65,1.564,K4III,Giant
27459,7.81,1.6,1.13,-0.054,B9,Unknown
27460,8.2,3.45,1.13,1.065,G8/K0IIICN.,Giant
27461,8.94,4.09,1.39,0.084,A2,Unknown
27462,4.51,15.34,0.8,0.949,G8III,Giant
27463,8.14,1.5,0.95,1.535,K5,Unknown
27464,7.31,3.03,0.87,0.119,A1/A2IV/V,Giant
27465,7.28,5.26,0.91,-0.015,B9,Unknown
27466,9.48,2.0,1.79,0.229,B8,Unknown
27467,8.6,0.91,1.35,1.36,K2,Unknown
27468,8.64,1.9,0.82,1.492,K3III,Giant
27469,8.85,8.16,1.24,0.472,F5,Unknown
27470,8.96,15.75,0.91,0.813,K0V,Dwarf
27471,7.85,-1.1,1.09,0.528,A5,Unknown
27472,9.17,2.87,0.86,1.231,K0,Unknown
27473,7.51,4.27,1.22,0.935,G5,Unknown
27474,9.06,5.84,1.3,0.406,F5,Unknown
27475,9.18,5.48,1.41,0.64,G0,Unknown
27476,7.2,5.7,0.98,1.17,K2,Unknown
27477,8.16,3.48,0.97,1.064,K0,Unknown
27478,7.73,6.39,0.68,0.927,G8IV,Giant
27479,8.28,9.32,1.16,0.559,F8,Unknown
27480,8.8,2.18,0.94,1.693,M0,Unknown
27481,7.83,6.15,1.25,0.358,F0,Unknown
27482,8.76,8.81,2.88,0.526,F5,Unknown
27483,8.55,4.06,1.41,-0.001,A0,Unknown
27484,8.01,2.35,0.69,-0.106,B5V,Dwarf
27485,8.83,-0.4,2.92,0.082,A1V,Dwarf
27486,9.85,4.37,1.76,0.486,F8,Unknown
27487,9.33,1.25,0.95,1.31,K3/K4III,Giant
27488,8.69,3.65,2.15,1.081,K0III,Giant
27489,7.62,4.61,1.04,-0.061,A0,Unknown
27490,4.89,12.0,0.86,-0.068,B9IV,Giant
27491,6.38,2.32,0.58,1.262,K1III,Giant
27492,8.28,6.4,1.22,0.473,F2,Unknown
27493,8.12,5.86,0.9,0.253,A5V,Dwarf
27494,9.07,7.91,0.89,0.534,F7V,Dwarf
27495,7.39,2.0,0.61,1.541,K5III,Giant
27496,5.49,10.51,0.93,0.87,G8III,Giant
27497,9.14,1.54,0.96,0.949,G3,Unknown
27498,8.84,3.01,1.33,0.227,A0,Unknown
27499,8.52,1.95,1.23,1.189,K0,Unknown
27500,8.43,4.82,1.63,0.986,G5,Unknown
27501,9.1,1.58,0.86,1.163,K1/K2III,Giant
27502,9.54,3.75,1.26,1.043,K0,Unknown
27503,8.8,7.07,1.52,0.486,F7V,Dwarf
27504,7.92,2.76,1.06,0.506,A5,Unknown
27505,10.11,2.59,4.93,0.577,Gp,Unknown
27506,8.78,28.1,1.36,0.929,K2,Unknown
27507,8.46,24.57,1.37,0.721,K0,Unknown
27508,7.81,5.39,1.09,1.238,K0,Unknown
27509,4.5,18.78,0.47,1.075,K1III,Giant
27510,9.86,21.26,1.1,0.864,K2V:,Dwarf
27511,7.58,4.28,0.62,-0.132,Ap...,Unknown
27512,5.87,5.34,0.64,0.055,A1V,Dwarf
27513,5.1,6.37,0.46,-0.128,B6V,Dwarf
27514,7.79,6.17,1.0,0.066,A2,Unknown
27515,9.34,2.46,1.44,0.032,A0,Unknown
27516,6.63,6.28,0.66,0.951,K0III,Giant
27517,6.87,7.06,1.23,0.204,A3,Unknown
27518,8.1,3.42,1.03,0.971,G8III,Giant
27519,9.05,-1.52,1.37,1.396,K5,Unknown
27520,8.69,8.83,1.06,0.437,F5,Unknown
27521,8.97,0.7,1.02,0.985,G8III,Giant
27522,8.71,3.51,1.37,1.018,G5,Unknown
27523,8.38,1.59,1.17,0.091,B9,Unknown
27524,7.91,6.32,1.1,0.161,B9,Unknown
27525,8.56,3.22,0.82,1.379,K3IIICN...,Giant
27526,9.57,3.91,1.34,1.613,K2,Unknown
27527,9.06,2.48,1.42,0.206,B5,Unknown
27528,8.05,3.36,1.21,1.668,K2,Unknown
27529,5.79,9.77,0.88,0.876,G8III,Giant
27530,7.35,1.54,0.65,1.654,M2III,Giant
27531,8.16,5.65,1.7,0.722,G5,Unknown
27532,8.61,3.01,2.08,0.09,A0...,Unknown
27533,8.15,5.25,1.04,0.1,A0V,Dwarf
27534,6.84,5.46,0.66,0.043,A1V,Dwarf
27535,8.05,6.49,1.4,0.536,F6V,Dwarf
27536,8.37,6.41,0.92,0.347,F2V,Dwarf
27537,9.32,6.96,0.9,0.517,G1V,Dwarf
27538,7.42,12.74,0.6,0.369,F0IV/V,Giant
27539,5.96,6.43,0.82,1.361,K2III,Giant
27540,8.95,1.4,1.18,0.152,A2,Unknown
27541,8.66,12.31,1.35,0.574,G0,Unknown
27542,8.08,3.36,0.93,1.294,K3III,Giant
27543,7.13,5.73,0.63,1.132,K2III,Giant
27544,9.61,3.13,1.92,0.458,F5,Unknown
27545,5.46,12.06,0.46,-0.076,B9.5V,Dwarf
27546,9.21,1.66,1.51,0.141,A2,Unknown
27547,7.84,11.56,0.65,0.435,F2V,Dwarf
27548,8.09,-1.96,1.38,1.218,K0,Unknown
27549,8.34,5.67,0.66,0.252,A5V,Dwarf
27550,9.62,1.06,2.14,1.213,K0,Unknown
27551,7.19,4.16,0.61,0.914,G6IV,Giant
27552,7.41,6.52,0.91,0.025,B9,Unknown
27553,9.11,2.03,1.37,0.031,B8,Unknown
27554,9.22,1.77,1.23,0.24,A6IV,Giant
27555,7.62,16.42,0.75,0.531,F8,Unknown
27556,8.27,6.79,1.09,0.191,A2,Unknown
27557,8.71,19.96,0.77,0.678,G6V,Dwarf
27558,7.01,1.85,0.62,1.587,K4/K5III,Giant
27559,8.96,3.06,1.43,0.09,A0,Unknown
27560,6.32,3.69,0.51,0.746,K0/K1III,Giant
27561,8.16,0.95,1.18,0.013,B3II-III,Giant
27562,5.54,10.44,1.09,1.006,G9III:,Giant
27563,10.53,-4.29,2.37,0.612,Unknown,Unknown
27564,8.85,0.93,1.58,0.119,A2,Unknown
27565,9.26,2.4,1.14,0.171,A0,Unknown
27566,8.75,1.28,1.19,0.109,B9,Unknown
27567,5.97,2.89,0.83,0.953,G8III+...,Giant
27568,8.68,4.89,1.75,0.515,F8,Unknown
27569,7.72,1.69,0.96,-0.08,B9,Unknown
27570,7.4,1.38,0.99,1.857,K5,Unknown
27571,6.53,7.4,0.73,0.129,A4IV-V,Giant
27572,9.06,4.15,1.22,1.248,K5,Unknown
27573,8.88,5.53,1.58,0.444,F5,Unknown
27574,8.48,8.61,1.18,0.52,F5,Unknown
27575,8.76,7.28,0.72,0.439,F3V,Dwarf
27576,8.6,4.14,1.34,0.135,A2,Unknown
27577,7.59,7.37,0.96,0.175,A2,Unknown
27578,7.99,6.96,0.63,0.248,A8IV,Giant
27579,7.85,5.52,2.38,1.06,G5,Unknown
27580,9.26,5.58,0.85,0.534,F8V,Dwarf
27581,7.97,7.16,1.3,1.047,K2,Unknown
27582,7.99,3.81,0.63,0.024,A0V,Dwarf
27583,9.38,5.52,2.38,0.24,F0,Unknown
27584,7.13,10.4,1.19,0.473,F2V,Dwarf
27585,8.82,1.35,1.16,1.693,M1III:,Giant
27586,8.4,5.13,1.05,0.29,B8,Unknown
27587,8.39,1.27,1.07,0.072,B9V,Dwarf
27588,8.31,19.91,1.27,0.7,G8/K0V:+...,Dwarf
27589,7.8,4.72,1.19,1.089,K0,Unknown
27590,8.12,8.78,3.56,0.573,F8V,Dwarf
27591,7.62,8.88,1.12,0.267,A3,Unknown
27592,7.47,1.98,1.1,1.656,M3,Unknown
27593,6.75,2.25,1.24,-0.07,B9,Unknown
27594,9.05,1.04,1.26,0.12,A0,Unknown
27595,9.61,6.32,1.35,0.39,F2,Unknown
27596,9.48,3.39,9.77,1.082,F8,Unknown
27597,6.59,5.97,1.11,1.054,K1III,Giant
27598,8.57,3.2,1.06,0.67,A2,Unknown
27599,9.06,2.19,0.89,1.256,G8/K0III,Giant
27600,5.16,12.33,0.47,0.96,G8III,Giant
27601,8.84,2.4,0.82,1.219,K1/K2III:,Giant
27602,9.11,5.74,0.77,0.419,F2V,Dwarf
27603,9.4,1.41,1.29,0.224,B9,Unknown
27604,6.29,11.62,0.94,1.047,K1III,Giant
27605,9.27,0.1,1.7,0.151,A3,Unknown
27606,8.49,-0.92,1.2,0.069,B9,Unknown
27607,3.12,37.94,0.57,1.146,K1.5III,Giant
27608,5.6,8.66,0.98,0.978,G7III:,Giant
27609,8.7,0.65,1.17,0.184,A0,Unknown
27610,8.75,3.61,1.12,0.293,A7/A8V,Dwarf
27611,9.15,3.39,1.36,0.704,K5,Unknown
27612,7.61,17.1,1.11,0.47,F5V,Dwarf
27613,6.61,1.82,1.04,0.822,F8,Unknown
27614,8.58,2.65,1.34,1.23,K5,Unknown
27615,9.21,3.82,1.68,0.213,A3,Unknown
27616,9.26,1.33,1.17,1.245,G1V,Dwarf
27617,4.72,6.86,0.77,1.621,M1III,Giant
27618,8.91,3.08,1.61,0.777,G5,Unknown
27619,9.09,9.19,1.32,0.506,F5,Unknown
27620,6.94,17.35,1.02,0.828,K0IV,Giant
27621,6.76,0.08,1.06,1.345,K0,Unknown
27622,10.61,17.92,10.08,0.513,G0,Unknown
27623,8.56,3.63,1.29,0.125,A0,Unknown
27624,9.56,1.72,1.8,0.319,B9,Unknown
27625,8.5,1.8,0.76,1.219,K0III,Giant
27626,10.48,0.27,2.34,0.616,F0,Unknown
27627,8.24,5.35,1.27,0.538,F5,Unknown
27628,9.57,3.32,1.72,0.468,G0,Unknown
27629,8.94,4.31,0.86,1.1,K0III,Giant
27630,8.03,3.27,1.07,0.355,A5,Unknown
27631,8.52,5.83,1.21,0.208,A0,Unknown
27632,8.95,3.75,1.24,0.542,F8,Unknown
27633,3.76,29.05,0.62,0.984,G8III/IV,Giant
27634,11.61,0.56,2.11,-0.048,B1.5Ia,Giant
27635,8.94,3.89,0.82,1.093,K0IV,Giant
27636,7.2,3.17,1.1,-0.078,B9,Unknown
27637,5.36,1.94,0.79,-0.195,B2IV-V,Giant
27638,8.72,1.84,1.22,0.198,B9,Unknown
27639,6.35,2.92,0.5,0.866,G8III,Giant
27640,6.28,5.62,1.0,1.752,M3III,Giant
27641,8.35,4.85,0.76,0.108,A8V,Dwarf
27642,9.2,-0.61,1.07,1.673,M0,Unknown
27643,8.83,4.26,1.41,0.01,A0,Unknown
27644,8.18,4.96,1.04,-0.042,B9V,Dwarf
27645,8.64,4.65,1.08,-0.038,A0,Unknown
27646,6.99,4.2,1.07,0.873,G5,Unknown
27647,8.15,2.21,1.2,1.011,K0,Unknown
27648,8.32,5.0,0.75,1.087,K0III,Giant
27649,6.16,7.36,0.67,1.02,K0IIICN...,Giant
27650,7.93,6.82,0.64,0.371,F0III,Giant
27651,7.54,5.18,0.85,0.22,A0,Unknown
27652,3.97,15.17,0.88,1.132,K0III,Giant
27653,7.89,7.9,0.83,0.2,A6IV,Giant
27654,10.48,7.39,2.53,0.91,Unknown,Unknown
27655,8.15,-0.06,1.35,0.01,B8III,Giant
27656,9.7,4.16,0.88,0.369,F0IV:,Giant
27657,8.47,1.11,1.11,1.226,K2III,Giant
27658,8.63,6.57,1.22,0.389,F0,Unknown
27659,9.51,3.4,1.64,0.419,A2,Unknown
27660,8.26,4.51,0.96,1.043,G8III,Giant
27661,9.77,1.91,0.98,1.04,G0,Unknown
27662,10.74,2.2,2.49,0.192,B...,Unknown
27663,8.55,2.83,1.34,1.362,K0,Unknown
27664,8.31,6.64,1.24,0.088,A0,Unknown
27665,8.29,4.14,1.42,1.066,K0,Unknown
27666,8.31,1.02,1.1,0.03,A0,Unknown
27667,8.96,15.74,1.02,0.732,G5IV/V,Giant
27668,9.66,1.17,1.93,0.522,F5,Unknown
27669,7.8,2.98,0.91,1.289,K5,Unknown
27670,8.17,8.25,0.67,0.781,G8V,Dwarf
